index,character,dialogue,episode
79,LUKE,And Im stuck here...,IV
80,BIGGS,I thought you were going to the Academy next term.  Youll get your chance to get off this rock.,IV
81,LUKE,Not likely!  I had to cancel my application.  There has been a lot of unrest among the Sand People since you left... theyve even raided the outskirts of Anchorhead.,IV
82,BIGGS,Your uncle could hold off a whole colony of Sand People with one blaster.,IV
83,LUKE,I know but hes got enough vaporators going to make the place pay off.  He needs me for just one more season.  I cant leave him now.,IV
84,BIGGS,I feel for you Luke youre going to have to learn what seems to be important or what really is important.  What good is all your uncles work if its taken over by the Empire?...  You know theyre starting to nationalize commerce in the central systems...it wont be long before your uncle is merely a tenant slaving for the greater glory of the Empire.,IV
85,LUKE,It couldnt happen here.  You said it yourself.  The Empire wont bother with this rock.,IV
86,BIGGS,Things always change.,IV
87,LUKE,I wish I was going...  Are you going to be around long? ,IV
88,BIGGS,No Im leaving in the morning...,IV
89,LUKE,Then I guess I wont see you.,IV
90,BIGGS,Maybe someday...  Ill keep a lookout.,IV
91,LUKE,Well Ill be at the Academy next season... after that who knows.  I wont be drafted into the Imperial Starfleet thats for sure...  Take care of yourself youll always be the best friend Ive got.,IV
92,BIGGS,So long Luke.,IV
93,THREEPIO,Artoo-Detoo!  Its you!  Its you!,IV
94,FIRST,TROOPER Someone was in the pod.  The tracks go off in this direction. ,IV
95,SECOND,TROOPER Look sir - droids.,IV
96,THREEPIO,Wake up!  Wake up!,IV
97,THREEPIO,Were doomed.,IV
98,THREEPIO,Do you think theyll melt us down?,IV
99,THREEPIO,Dont shoot!  Dont shoot!  Will this never end?,IV
100,BERU,Luke tell Owen that if he gets a translator to be sure it speaks Bocce.,IV
101,LUKE,It looks like we dont have much of a choice but Ill remind him.,IV
102,OWEN,I have no need for a protocol droid.,IV
103,THREEPIO,Sir - not in an environment such as this - thats why Ive also been programmed for over thirty secondary functions that...,IV
104,OWEN,What I really need is a droid that understands the binary languages of moisture vaporators.,IV
105,THREEPIO,Vaporators!  Sir - My first job was programming binary load lifters... very similar to your vaporators.  You could say...,IV
106,OWEN,Do you speak Bocce?,IV
107,THREEPIO,Of course I can sir.  Its like a second language for me...  Im as fluent in Bocce...,IV
108,OWEN,All right; shut up! Ill take this one.,IV
109,THREEPIO,Shutting up sir.,IV
110,OWEN,Luke take these two over to the garage will you?  I want you to have both of them cleaned up before dinner.,IV
111,LUKE,But I was going into Toshi Station to pick up some power converters...,IV
112,OWEN,You can waste time with your friends when your chores are done.  Now come on get to it!,IV
113,LUKE,All right come on!  And the red one come on.  Well come on Red lets go.,IV
114,LUKE,Uncle Owen...,IV
115,OWEN,Yeah?,IV
116,LUKE,This R2 unit has a bad motivator.  Look!,IV
117,OWEN,Hey whatre you trying to push on us?,IV
118,THREEPIO,Excuse me sir but that R2 unit is in prime condition.  A real bargain.,IV
119,LUKE,Uncle Owen...,IV
120,OWEN,Yeah?,IV
121,LUKE,What about that one?,IV
122,OWEN,What about that blue one?  Well take that one.,IV
123,LUKE,Yeah take it away.,IV
124,THREEPIO,Uh Im quite sure youll be very pleased with that one sir.  He really is in first-class condition.  Ive worked with him before.  Here he comes.,IV
125,LUKE,Okay lets go.,IV
126,THREEPIO,Now dont forget this!  Why I should stick my neck out for you is quite beyond my capacity!,IV
127,THREEPIO,Thank the maker!  This oil bath is going to feel so good.  Ive got such a bad case of dust contamination I can barely move!,IV
128,LUKE,It just isnt fair.  Oh Biggs is right.  Im never gonna get out of here!,IV
129,THREEPIO,Is there anything I might do to help? ,IV
130,LUKE,Well not unless you can alter time speed up the harvest or teleport me off this rock!,IV
131,THREEPIO,I dont think so sir.  Im only a droid and not very knowledgeable about such things.  Not on this planet anyways.  As a matter of fact Im not even sure which planet Im on.,IV
132,LUKE,Well if theres a bright center to the universe youre on the planet that its farthest from.,IV
133,THREEPIO,I see sir.,IV
134,LUKE,Uh you can call me Luke.,IV
135,THREEPIO,I see sir Luke.,IV
136,LUKE,Just Luke.,IV
137,THREEPIO,And I am See-Threepio human-cyborg relations and this is my counterpart Artoo-Detoo.,IV
138,LUKE,Hello.,IV
139,LUKE,You got a lot of carbon scoring here.  It looks like you boys have seen a lot of action.,IV
140,THREEPIO,With all weve been through sometimes Im amazed were in as good condition as we are what with the Rebellion and all.,IV
141,LUKE,You know of the Rebellion against the Empire?,IV
142,THREEPIO,Thats how we came to be in your service if you take my meaning sir.,IV
143,LUKE,Have you been in many battles?,IV
144,THREEPIO,Several I think.  Actually theres not much to tell.  Im not much more than an interpreter and not very good at telling stories.  Well not at making them interesting anyways.,IV
145,LUKE,Well my little friend youve got something jammed in here real good.  Were you on a starcruiser or...,IV
146,LEIA,Help me Obi-Wan Kenobi.  Youremy only hope.,IV
147,LUKE,Whats this?,IV
148,THREEPIO,What is what?!?  He asked you a question...What is that?,IV
149,LEIA,Help me Obi-Wan Kenobi.  Youre my only hope.  Help me Obi-Wan Kenobi.  Youre my only hope.,IV
150,THREEPIO,Oh he says its nothing sir.  Merely a malfunction.  Old data.  Pay it no mind.,IV
151,LUKE,Who is she?  Shes beautiful.,IV
152,THREEPIO,Im afraid Im not quite sure sir.,IV
153,LEIA,Help me Obi-Wan Kenobi...,IV
154,THREEPIO,I think she was a passenger on our last voyage.  A person of some importance sir - I believe.  Our captain was attached to...,IV
155,LUKE,Is there more to this recording?,IV
156,THREEPIO,Behave yourself Artoo.  Youre going to get us in trouble.  Its all right you can trust him.  Hes our new master.,IV
157,THREEPIO,He says hes the property of Obi-Wan Kenobi a resident of these parts.  And its a private message for him.  Quite frankly sir I dont know what hes talking about.  Our last master was Captain Antilles but with what weve been through this little R2 unit has become a bit eccentric.,IV
158,LUKE,Obi-Wan Kenobi?  I wonder if he means old Ben Kenobi?,IV
159,THREEPIO,I beg your pardon sir but do you know what hes talking about?,IV
160,LUKE,Well I dont know anyone named Obi-Wan but old Ben lives out beyond the dune sea.  Hes kind of a strange old hermit.,IV
161,LUKE,I wonder who she is.  It sounds like shes in trouble.  Id better play back the whole thing.,IV
162,THREEPIO,He says the restraining bolt has short circuited his recording system.  He suggests that if you remove the bolt he might be able to play back the entire recording.,IV
163,LUKE,Hm?  Oh yeah well I guess youre too small to run away on me if I take this off!  Okay.,IV
164,LUKE,There you go.,IV
165,LUKE,Well wait a minute.  Whered she go?  Bring her back!  Play back the entire message.,IV
166,THREEPIO,been playing.  The one youre carrying inside your rusty innards! ,IV
167,AUNT,BERU Luke?  Luke!  Come to dinner!,IV
168,LUKE,All right Ill be right there Aunt Beru.,IV
169,THREEPIO,Im sorry sir but he appears to have picked up a slight flutter.,IV
170,LUKE,Well see what you can do with him.  Ill be right back.,IV
171,THREEPIO,Just you reconsider playing that message for him.,IV
172,THREEPIO,No I dont think he likes you at all.,IV
